(0;0),(1;0),(2;0),(3;0),(0;1),(1;1),(2;1),(3;1),(0;2),(1;2),(2;2),(3;2),(0;3),(1;3),(2;3),(3;3),s(0;0),s(1;0),s(2;0),s(3;0),s(0;1),s(1;1),s(2;1),s(3;1),s(0;2),s(1;2),s(2;2),s(3;2),s(0;3),s(1;3),s(2;3),s(3;3)
-3,-3,-3,-3,-3,-3,-3,-3,3,2,-3,-3,2,-3,-3,2,1,1,0,0,1,0,1,1,1,1,1,1,1,0,1,1
-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,3,3,-3,-3,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1
-3,-3,2,1,-3,-3,0,0,-3,-3,-3,1,-3,-3,-3,-3,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0
2,1,1,2,0,0,1,3,1,1,3,-3,-3,-3,-3,-3,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0
-3,3,-3,-3,-3,-3,2,1,4,2,1,0,2,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1
-3,-3,3,-3,-3,1,2,1,-3,-3,1,-3,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1
1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-3,-3,-3,0,-3,-3,0,-3,-3,-3,2,1,-3,-3,2,-3,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0
-3,-3,-3,-3,-3,-3,-3,-3,3,2,-3,-3,2,-3,-3,2,1,1,0,0,1,0,1,1,1,1,1,1,1,0,1,1
-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,3,3,-3,-3,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1
-3,-3,2,1,-3,-3,0,0,-3,-3,-3,1,-3,-3,-3,-3,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0
2,1,1,2,0,0,1,3,1,1,3,-3,-3,-3,-3,-3,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0
-3,3,-3,-3,-3,-3,2,1,4,2,1,0,2,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1
-3,-3,3,-3,-3,1,2,1,-3,-3,1,-3,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1
1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-3,-3,-3,0,-3,-3,0,-3,-3,-3,2,1,-3,-3,2,-3,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0
-3,-3,-3,-3,1,-3,-3,-3,3,2,-3,-3,2,-3,-3,2,1,1,0,0,1,0,1,1,1,1,1,1,1,0,1,1
-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,3,3,-3,-3,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1
-3,-3,2,1,-3,-3,0,0,-3,-3,-3,1,-3,-3,-3,-3,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0
2,1,1,2,0,0,1,3,1,1,3,-3,-3,-3,-3,-3,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0
-3,3,-3,-3,-3,-3,2,1,4,2,1,0,2,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1
-3,-3,3,-3,-3,1,2,1,-3,-3,1,-3,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1
1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-3,-3,-3,0,-3,-3,0,-3,-3,-3,2,1,-3,-3,2,-3,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0
-3,-3,-3,-3,1,-3,-3,-3,3,2,-3,-3,2,-3,-3,2,1,1,0,0,1,0,1,1,1,1,1,1,1,0,1,1
-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,3,3,-3,-3,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1
-3,-3,2,1,-3,1,0,0,-3,-3,-3,1,-3,-3,-3,-3,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0
2,1,1,2,0,0,1,3,1,1,3,-3,-3,-3,-3,-3,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0
-3,3,-3,-3,-3,-3,2,1,4,2,1,0,2,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1
-3,-3,3,-3,-3,1,2,1,-3,-3,1,-3,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1
1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-3,1,-3,0,-3,-3,0,-3,-3,-3,2,1,-3,-3,2,-3,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0
-3,-3,-3,-3,1,-3,-3,-3,3,2,-3,-3,2,-3,-3,2,1,1,0,0,1,0,1,1,1,1,1,1,1,0,1,1
-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,3,3,-3,-3,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1
-3,-3,2,1,-3,1,0,0,-3,-3,-3,1,-3,-3,-3,-3,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0
2,1,1,2,0,0,1,3,1,1,3,-3,-3,-3,-3,-3,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0
-3,3,-3,-3,-3,-3,2,1,4,2,1,0,2,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1
-3,-3,3,-3,-3,1,2,1,-3,-3,1,-3,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1
1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-3,1,-3,0,-3,-3,0,-3,-3,-3,2,1,-3,-3,2,-3,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0
1,-3,-3,-3,1,-3,-3,-3,3,2,-3,-3,2,-3,-3,2,1,1,0,0,1,0,1,1,1,1,1,1,1,0,1,1
-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,3,3,-3,-3,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1
-3,-3,2,1,-3,1,0,0,-3,-3,-3,1,-3,-3,-3,-3,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0
2,1,1,2,0,0,1,3,1,1,3,-3,-3,-3,-3,-3,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0
-3,3,-3,-3,-3,-3,2,1,4,2,1,0,2,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1
-3,-3,3,-3,-3,1,2,1,-3,-3,1,-3,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1
1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-3,1,-3,0,-3,-3,0,-3,-3,-3,2,1,-3,-3,2,-3,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0
1,-3,-3,-3,1,-3,-3,-3,3,2,-3,-3,2,-3,1,2,1,1,0,0,1,0,1,1,1,1,1,1,1,0,1,1
-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,3,3,-3,-3,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1
-3,-3,2,1,-3,1,0,0,-3,-3,-3,1,-3,-3,-3,-3,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0
2,1,1,2,0,0,1,3,1,1,3,-3,-3,-3,-3,-3,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0
-3,3,-3,-3,-3,-3,2,1,4,2,1,0,2,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1
-3,-3,3,-3,-3,1,2,1,-3,-3,1,-3,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1
1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-3,1,-3,0,-3,-3,0,-3,-3,-3,2,1,-3,-3,2,-3,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0
1,-3,-3,-3,1,-3,-3,-3,3,2,-3,-3,2,-3,1,2,1,1,0,0,1,0,1,1,1,1,1,1,1,0,1,1
-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,3,3,-3,-3,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1
-3,-3,2,1,-3,1,0,0,-3,-3,-3,1,-3,-3,-3,-3,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0
2,1,1,2,0,0,1,3,1,1,3,-3,-3,-3,-3,-3,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0
-3,3,-3,-3,-3,-3,2,1,4,2,1,0,2,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1
-3,-3,3,2,-3,1,2,1,-3,-3,1,-3,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1
1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-3,1,-3,0,-3,-3,0,-3,-3,-3,2,1,-3,-3,2,-3,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0
1,-3,-3,-3,1,-3,-3,-3,3,2,-3,-3,2,-3,1,2,1,1,0,0,1,0,1,1,1,1,1,1,1,0,1,1
-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,3,3,-3,-3,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1
-3,-3,2,1,-3,1,0,0,-3,-3,-3,1,-3,-3,-3,-3,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0
2,1,1,2,0,0,1,3,1,1,3,-3,3,-3,-3,-3,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0
-3,3,-3,-3,-3,-3,2,1,4,2,1,0,2,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1
-3,-3,3,2,-3,1,2,1,-3,-3,1,-3,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1
1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-3,1,-3,0,-3,-3,0,0,-3,-3,2,1,-3,-3,2,-3,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0
1,-3,-3,-3,1,-3,-3,-3,3,2,-3,-3,2,-3,1,2,1,1,0,0,1,0,1,1,1,1,1,1,1,0,1,1
-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,3,3,-3,-3,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1
-3,-3,2,1,-3,1,0,0,-3,-3,-3,1,-3,-3,-3,-3,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0
2,1,1,2,0,0,1,3,1,1,3,-3,3,-3,-3,-3,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0
-3,3,-3,-3,-3,-3,2,1,4,2,1,0,2,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1
-3,-3,3,2,-3,1,2,1,-3,-3,1,-3,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1
1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-3,1,-3,0,-3,-3,0,0,-3,-3,2,1,-3,-3,2,-3,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0
1,-3,-3,-3,1,-3,-3,-3,3,2,-3,-3,2,-3,1,2,1,1,0,0,1,0,1,1,1,1,1,1,1,0,1,1
-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,3,3,-3,-3,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1
-3,-3,2,1,-3,1,0,0,-3,-3,-3,1,-3,-3,-3,-3,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0
2,1,1,2,0,0,1,3,1,1,3,-3,3,-3,-3,-3,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0
-3,3,2,-3,-3,-3,2,1,4,2,1,0,2,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1
-3,-3,3,2,-3,1,2,1,-3,-3,1,-3,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1
1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-3,1,-3,0,-3,-3,0,0,-3,-3,2,1,-3,-3,2,-3,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0
1,-3,-3,-3,1,-3,-3,-3,3,2,-3,-3,2,-3,1,2,1,1,0,0,1,0,1,1,1,1,1,1,1,0,1,1
-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2,-3,3,3,-3,-3,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1
-3,-3,2,1,-3,1,0,0,-3,-3,-3,1,-3,-3,-3,-3,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0
2,1,1,2,0,0,1,3,1,1,3,-3,3,-3,-3,-3,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0
-3,3,2,-3,-3,-3,2,1,4,2,1,0,2,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1
-3,-3,3,2,-3,1,2,1,-3,-3,1,-3,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1
1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-3,1,-3,0,-3,-3,0,0,-3,-3,2,1,-3,-3,2,-3,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0
1,-3,-3,-3,1,-3,-3,-3,3,2,2,-3,2,-3,1,2,1,1,0,0,1,0,1,1,1,1,1,1,1,0,1,1
-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2,-3,3,3,-3,-3,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1
-3,-3,2,1,-3,1,0,0,-3,-3,-3,1,-3,-3,-3,-3,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0
2,1,1,2,0,0,1,3,1,1,3,-3,3,-3,-3,-3,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0
-3,3,2,-3,-3,-3,2,1,4,2,1,0,2,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1
-3,-3,3,2,-3,1,2,1,-3,-3,1,-3,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1
1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-3,1,-3,0,-3,1,0,0,-3,-3,2,1,-3,-3,2,-3,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0
1,-3,-3,-3,1,-3,-3,-3,3,2,2,-3,2,-3,1,2,1,1,0,0,1,0,1,1,1,1,1,1,1,0,1,1
-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2,-3,3,3,-3,-3,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1
-3,-3,2,1,-3,1,0,0,-3,-3,-3,1,-3,-3,-3,-3,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0
2,1,1,2,0,0,1,3,1,1,3,-3,3,-3,-3,-3,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0
-3,3,2,-3,-3,-3,2,1,4,2,1,0,2,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1
-3,-3,3,2,-3,1,2,1,-3,-3,1,-3,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1
1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-3,1,-3,0,-3,1,0,0,-3,-3,2,1,-3,-3,2,-3,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0
1,-3,-3,-3,1,-3,-3,-3,3,2,2,-3,2,-3,1,2,1,1,0,0,1,0,1,1,1,1,1,1,1,0,1,1
-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2,-3,3,3,-3,-3,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1
-3,-3,2,1,-3,1,0,0,-3,-3,-3,1,-3,-3,-3,-3,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0
2,1,1,2,0,0,1,3,1,1,3,-3,3,2,-3,-3,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0
-3,3,2,-3,-3,-3,2,1,4,2,1,0,2,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1
-3,-3,3,2,-3,1,2,1,-3,-3,1,-3,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1
1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-3,1,-3,0,-3,1,0,0,2,-3,2,1,-3,-3,2,-3,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0
1,-3,-3,-3,1,-3,-3,-3,3,2,2,-3,2,-3,1,2,1,1,0,0,1,0,1,1,1,1,1,1,1,0,1,1
-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2,-3,3,3,-3,-3,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1
-3,-3,2,1,-3,1,0,0,-3,-3,-3,1,-3,-3,-3,-3,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0
2,1,1,2,0,0,1,3,1,1,3,-3,3,2,-3,-3,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0
-3,3,2,-3,-3,-3,2,1,4,2,1,0,2,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1
-3,-3,3,2,-3,1,2,1,-3,-3,1,-3,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1
1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-3,1,-3,0,-3,1,0,0,2,-3,2,1,-3,-3,2,-3,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0
1,-3,-3,-3,1,-3,-3,-3,3,2,2,-3,2,-3,1,2,1,1,0,0,1,0,1,1,1,1,1,1,1,0,1,1
-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2,-3,3,3,-3,-3,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1
-3,-3,2,1,-3,1,0,0,-3,-3,-3,1,-3,-3,-3,-3,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0
2,1,1,2,0,0,1,3,1,1,3,-3,3,2,-3,-3,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0
-3,3,2,-3,-3,-3,2,1,4,2,1,0,2,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1
-3,-3,3,2,-3,1,2,1,0,-3,1,-3,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1
1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-3,1,-3,0,-3,1,0,0,2,-3,2,1,-3,-3,2,-3,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0
1,-3,-3,-3,1,-3,-3,-3,3,2,2,-3,2,-3,1,2,1,1,0,0,1,0,1,1,1,1,1,1,1,0,1,1
-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2,-3,3,3,-3,-3,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1
-3,-3,2,1,-3,1,0,0,-3,-3,-3,1,-3,-3,3,-3,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0
2,1,1,2,0,0,1,3,1,1,3,-3,3,2,-3,-3,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0
-3,3,2,-3,-3,-3,2,1,4,2,1,0,2,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1
-3,-3,3,2,-3,1,2,1,0,-3,1,-3,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1
1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-3,1,-3,0,-3,1,0,0,2,-3,2,1,-3,-3,2,-3,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0
1,-3,-3,-3,1,-3,-3,4,3,2,2,-3,2,-3,1,2,1,1,0,0,1,0,1,1,1,1,1,1,1,0,1,1
-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2,-3,3,3,-3,-3,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1
-3,-3,2,1,-3,1,0,0,-3,-3,-3,1,-3,-3,3,-3,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0
2,1,1,2,0,0,1,3,1,1,3,-3,3,2,-3,-3,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0
-3,3,2,-3,-3,-3,2,1,4,2,1,0,2,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1
-3,-3,3,2,-3,1,2,1,0,-3,1,-3,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1
1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-3,1,-3,0,-3,1,0,0,2,-3,2,1,-3,-3,2,-3,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0
1,-3,-3,-3,1,-3,-3,4,3,2,2,2,2,-3,1,2,1,1,0,0,1,0,1,1,1,1,1,1,1,0,1,1
-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2,-3,3,3,-3,-3,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1
-3,-3,2,1,-3,1,0,0,-3,-3,-3,1,-3,-3,3,-3,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0
2,1,1,2,0,0,1,3,1,1,3,-3,3,2,-3,-3,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0
-3,3,2,-3,-3,-3,2,1,4,2,1,0,2,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1
-3,-3,3,2,-3,1,2,1,0,-3,1,-3,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1
1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-3,1,-3,0,-3,1,0,0,2,-3,2,1,-3,-3,2,-3,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0
1,-3,-3,-3,1,-3,-3,4,3,2,2,2,2,-3,1,2,1,1,0,0,1,0,1,1,1,1,1,1,1,0,1,1
-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2,-3,3,3,-3,-3,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1
-3,-3,2,1,-3,1,0,0,-3,-3,-3,1,-3,-3,3,-3,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0
2,1,1,2,0,0,1,3,1,1,3,-3,3,2,-3,-3,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0
-3,3,2,-3,-3,-3,2,1,4,2,1,0,2,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1
-3,-3,3,2,-3,1,2,1,0,0,1,-3,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1
1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-3,1,-3,0,-3,1,0,0,2,-3,2,1,-3,-3,2,-3,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0
1,-3,-3,-3,1,-3,-3,4,3,2,2,2,2,-3,1,2,1,1,0,0,1,0,1,1,1,1,1,1,1,0,1,1
-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2,-3,3,3,-3,-3,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1
-3,-3,2,1,-3,1,0,0,-3,-3,-3,1,-3,-3,3,-3,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0
2,1,1,2,0,0,1,3,1,1,3,-3,3,2,-3,-3,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0
-3,3,2,-3,-3,-3,2,1,4,2,1,0,2,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1
-3,-3,-3,-3,-3,-3,-3,2,-3,-3,-3,-3,-3,-3,-3,-3,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1
-3,-3,3,2,-3,1,2,1,0,0,1,-3,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1
1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-3,1,-3,0,-3,1,0,0,2,-3,2,1,-3,-3,2,-3,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0
1,-3,-3,-3,1,-3,-3,4,3,2,2,2,2,-3,1,2,1,1,0,0,1,0,1,1,1,1,1,1,1,0,1,1
-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2,-3,3,3,-3,-3,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1
-3,-3,2,1,-3,1,0,0,-3,-3,2,1,-3,-3,3,-3,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0
2,1,1,2,0,0,1,3,1,1,3,-3,3,2,-3,-3,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0
-3,3,2,-3,-3,-3,2,1,4,2,1,0,2,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1
-3,-3,-3,-3,-3,-3,-3,2,-3,-3,-3,-3,-3,-3,-3,-3,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1
-3,-3,3,2,-3,1,2,1,0,0,1,-3,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1
1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-3,1,-3,0,-3,1,0,0,2,-3,2,1,-3,-3,2,-3,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0
1,-3,-3,-3,1,-3,-3,4,3,2,2,2,2,-3,1,2,1,1,0,0,1,0,1,1,1,1,1,1,1,0,1,1
-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2,-3,3,3,-3,-3,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1
-3,-3,2,1,-3,1,0,0,-3,2,2,1,-3,-3,3,-3,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0
2,1,1,2,0,0,1,3,1,1,3,-3,3,2,-3,-3,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0
-3,3,2,-3,-3,-3,2,1,4,2,1,0,2,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1
-3,-3,-3,-3,-3,-3,-3,2,-3,-3,-3,-3,-3,-3,-3,-3,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1
-3,-3,3,2,-3,1,2,1,0,0,1,-3,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1
1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
